Symbol	Location
ADD1	Plasma membrane
STING1	Plasma membrane
NEURL1	Plasma membrane
RALGPS1	Plasma membrane
MARVELD3	Plasma membrane
PCDHAC1	Plasma membrane
OR10Z1	Plasma membrane
SSH1	Plasma membrane
HTR1E	Plasma membrane
RAB33A	Plasma membrane
OR10A4	Plasma membrane
PRKACA	Plasma membrane
FLRT1	Plasma membrane
CMKLR1	Plasma membrane
SCAMP5	Plasma membrane
ACE2	Plasma membrane
ANO6	Plasma membrane
NECTIN2	Plasma membrane
TNS2	Plasma membrane
ICOS	Plasma membrane
OR51I1	Plasma membrane
RP2	Plasma membrane
OR52W1	Plasma membrane
RIT1	Plasma membrane
PRKCA	Plasma membrane
TRPC3	Plasma membrane
SHB	Plasma membrane
ASIC3	Plasma membrane
ADTRP	Plasma membrane
ABCC10	Plasma membrane
BBS4	Plasma membrane
MAGT1	Plasma membrane
OR2J1	Plasma membrane
STARD8	Plasma membrane
OR5H1	Plasma membrane
CLDN6	Plasma membrane
RALA	Plasma membrane
GDPD2	Plasma membrane
KCNJ4	Plasma membrane
BDKRB1	Plasma membrane
CACNA1C	Plasma membrane
OR2M2	Plasma membrane
CBL	Plasma membrane
GPR148	Plasma membrane
MDGA2	Plasma membrane
F2RL1	Plasma membrane
NRXN1	Plasma membrane
PTH1R	Plasma membrane
IFITM2	Plasma membrane
CD81	Plasma membrane
OR1L8	Plasma membrane
FOLR2	Plasma membrane
OR51T1	Plasma membrane
IGDCC4	Plasma membrane
MCHR2	Plasma membrane
SCRIB	Plasma membrane
FCRL5	Plasma membrane
DRD3	Plasma membrane
PDE2A	Plasma membrane
GPR149	Plasma membrane
HLA-DRB5	Plasma membrane
TAS1R1	Plasma membrane
MR1	Plasma membrane
EPHA4	Plasma membrane
OR5B17	Plasma membrane
GRID2	Plasma membrane
ARC	Plasma membrane
ABCA8	Plasma membrane
FBLIM1	Plasma membrane
KCNMB3	Plasma membrane
SIT1	Plasma membrane
SEMA6C	Plasma membrane
HTR5A	Plasma membrane
FFAR2	Plasma membrane
DVL1	Plasma membrane
GNAI1	Plasma membrane
PLP2	Plasma membrane
ACVR1B	Plasma membrane
STAB1	Plasma membrane
OR5B21	Plasma membrane
TRPV6	Plasma membrane
NOXO1	Plasma membrane
ADAM10	Plasma membrane
PRKD1	Plasma membrane
AMIGO2	Plasma membrane
APBB1	Plasma membrane
NLGN1	Plasma membrane
CAV3	Plasma membrane
GNA11	Plasma membrane
SCUBE1	Plasma membrane
ADRA2A	Plasma membrane
PCDHA1	Plasma membrane
GPR31	Plasma membrane
MFSD2A	Plasma membrane
CDK5R1	Plasma membrane
EMCN	Plasma membrane
GLRA2	Plasma membrane
SRC	Plasma membrane
OR2Y1	Plasma membrane
QSOX2	Plasma membrane
OR10T2	Plasma membrane
GJA4	Plasma membrane
ACKR4	Plasma membrane
OR52E4	Plasma membrane
GPR35	Plasma membrane
CSNK1D	Plasma membrane
ECE1	Plasma membrane
CCDC6	Plasma membrane
HTR1A	Plasma membrane
GALR2	Plasma membrane
LIPH	Plasma membrane
RASD1	Plasma membrane
PDYN	Plasma membrane
FGFR2	Plasma membrane
PTPRM	Plasma membrane
CDH5	Plasma membrane
SMAP1	Plasma membrane
STXBP5L	Plasma membrane
PFKM	Plasma membrane
PARVA	Plasma membrane
CD4	Plasma membrane
CD1B	Plasma membrane
OR5L2	Plasma membrane
PROKR1	Plasma membrane
VEPH1	Plasma membrane
DSG2	Plasma membrane
GPR37	Plasma membrane
NSMF	Plasma membrane
OR13C5	Plasma membrane
KRT1	Plasma membrane
SLCO2B1	Plasma membrane
CDH13	Plasma membrane
PLA2G3	Plasma membrane
CDH19	Plasma membrane
TMEM11	Plasma membrane
GPR27	Plasma membrane
HTR3B	Plasma membrane
SNAP25	Plasma membrane
TUBB3	Plasma membrane
SLC43A1	Plasma membrane
MLNR	Plasma membrane
MTNR1B	Plasma membrane
RAPH1	Plasma membrane
EVC	Plasma membrane
OR52A1	Plasma membrane
HLA-DQA2	Plasma membrane
SLC22A1	Plasma membrane
GLP1R	Plasma membrane
SCARA5	Plasma membrane
OR4C3	Plasma membrane
APOBR	Plasma membrane
TNFSF18	Plasma membrane
SLMAP	Plasma membrane
OR10V1	Plasma membrane
UMODL1	Plasma membrane
OR51G2	Plasma membrane
APCDD1	Plasma membrane
STAB2	Plasma membrane
AXIN1	Plasma membrane
OR11H4	Plasma membrane
TMEM123	Plasma membrane
OR2AG2	Plasma membrane
ROS1	Plasma membrane
ROCK2	Plasma membrane
TIE1	Plasma membrane
LRP12	Plasma membrane
SLC36A1	Plasma membrane
CXCR4	Plasma membrane
GPR162	Plasma membrane
SCNN1A	Plasma membrane
PILRA	Plasma membrane
MAPK1	Plasma membrane
CLCA1	Plasma membrane
LYPD1	Plasma membrane
CNNM3	Plasma membrane
TGM3	Plasma membrane
SLC13A3	Plasma membrane
PCDHB11	Plasma membrane
SORT1	Plasma membrane
OR13C4	Plasma membrane
MAP2K2	Plasma membrane
OR2V1	Plasma membrane
EXOC7	Plasma membrane
ATP10D	Plasma membrane
CLDN12	Plasma membrane
GHSR	Plasma membrane
AL592490.1	Plasma membrane
GPR18	Plasma membrane
OR13J1	Plasma membrane
OR14C36	Plasma membrane
GIPR	Plasma membrane
TRHR	Plasma membrane
NKG7	Plasma membrane
OR2D3	Plasma membrane
RAB3B	Plasma membrane
RAB5B	Plasma membrane
SLC30A10	Plasma membrane
GABRD	Plasma membrane
IFITM10	Plasma membrane
GFRA1	Plasma membrane
CALHM1	Plasma membrane
MAPKAP1	Plasma membrane
SGCE	Plasma membrane
OR2B2	Plasma membrane
AP2A2	Plasma membrane
PPP1R16A	Plasma membrane
TLCD3A	Plasma membrane
HTR1B	Plasma membrane
GALR3	Plasma membrane
PDPK1	Plasma membrane
MRGPRG	Plasma membrane
ARHGAP17	Plasma membrane
ADCY10	Plasma membrane
TRPV2	Plasma membrane
ALPG	Plasma membrane
FGFR1	Plasma membrane
JPH1	Plasma membrane
ADGRG4	Plasma membrane
GPC3	Plasma membrane
CD79A	Plasma membrane
RHOQ	Plasma membrane
ARL6	Plasma membrane
B4GALT1	Plasma membrane
SLC16A11	Plasma membrane
CDH7	Plasma membrane
PTPRE	Plasma membrane
TREM1	Plasma membrane
AMOT	Plasma membrane
BLK	Plasma membrane
ATP8A1	Plasma membrane
OR4F16	Plasma membrane
PRKCQ	Plasma membrane
MFAP3	Plasma membrane
CACNA1S	Plasma membrane
MCC	Plasma membrane
ENDOU	Plasma membrane
GYPA	Plasma membrane
SEMA6A	Plasma membrane
C6orf89	Plasma membrane
TMPRSS2	Plasma membrane
OR5K1	Plasma membrane
AQP3	Plasma membrane
GOT2	Plasma membrane
TOLLIP	Plasma membrane
SLC5A7	Plasma membrane
PCDH11Y	Plasma membrane
APOLD1	Plasma membrane
MMP24	Plasma membrane
NOTCH2	Plasma membrane
OR2B11	Plasma membrane
SPRED1	Plasma membrane
GCOM1	Plasma membrane
RAB23	Plasma membrane
RAP1B	Plasma membrane
TNFRSF18	Plasma membrane
CALM3	Plasma membrane
CYTH3	Plasma membrane
USP6	Plasma membrane
GPR50	Plasma membrane
SLC39A2	Plasma membrane
VIPR2	Plasma membrane
CFAP410	Plasma membrane
C3AR1	Plasma membrane
SVIL	Plasma membrane
OR2A2	Plasma membrane
CRB3	Plasma membrane
GPRC5B	Plasma membrane
LRRTM2	Plasma membrane
TEK	Plasma membrane
PTEN	Plasma membrane
RAET1G	Plasma membrane
DSG1	Plasma membrane
SLC4A10	Plasma membrane
LYPD2	Plasma membrane
LIMS1	Plasma membrane
ADGRF3	Plasma membrane
SIGLEC1	Plasma membrane
VASP	Plasma membrane
GNG10	Plasma membrane
EVC2	Plasma membrane
TAS2R4	Plasma membrane
OR2T4	Plasma membrane
OR10AG1	Plasma membrane
SLC9A3R2	Plasma membrane
S100A9	Plasma membrane
OR56A3	Plasma membrane
PTK2	Plasma membrane
TGFA	Plasma membrane
KIR3DL3	Plasma membrane
OR5M9	Plasma membrane
PALM	Plasma membrane
PSKH1	Plasma membrane
NCS1	Plasma membrane
FZD8	Plasma membrane
PVR	Plasma membrane
HTR3D	Plasma membrane
MMP16	Plasma membrane
FAM120A	Plasma membrane
OR52H1	Plasma membrane
TMEM102	Plasma membrane
MAP3K7	Plasma membrane
FNDC5	Plasma membrane
FASLG	Plasma membrane
ECT2	Plasma membrane
GRIK1	Plasma membrane
CELSR3	Plasma membrane
OR5J2	Plasma membrane
FRMPD1	Plasma membrane
GJC2	Plasma membrane
OR4K1	Plasma membrane
CELSR2	Plasma membrane
NPHS2	Plasma membrane
HRH3	Plasma membrane
CDH2	Plasma membrane
NEDD9	Plasma membrane
GPR37L1	Plasma membrane
PRKG2	Plasma membrane
NKAIN4	Plasma membrane
NIPA1	Plasma membrane
MFSD4B	Plasma membrane
OR4N4	Plasma membrane
OR2AG1	Plasma membrane
PLSCR3	Plasma membrane
ANPEP	Plasma membrane
OPRK1	Plasma membrane
CSMD3	Plasma membrane
GJB6	Plasma membrane
ATP6V1G3	Plasma membrane
MTFR1	Plasma membrane
GOPC	Plasma membrane
PAQR8	Plasma membrane
CACNB1	Plasma membrane
TAMALIN	Plasma membrane
NAALADL1	Plasma membrane
EEA1	Plasma membrane
GML	Plasma membrane
RAB10	Plasma membrane
SLC2A6	Plasma membrane
KCNG4	Plasma membrane
FRMD6	Plasma membrane
PRIMA1	Plasma membrane
PTPN4	Plasma membrane
OR6V1	Plasma membrane
ENOX2	Plasma membrane
ITGAL	Plasma membrane
HTR4	Plasma membrane
RGMA	Plasma membrane
FOLH1	Plasma membrane
ABCB1	Plasma membrane
JAM3	Plasma membrane
ACVR2B	Plasma membrane
OR4K2	Plasma membrane
IGSF9B	Plasma membrane
PPAN-P2RY11	Plasma membrane
KIR2DL4	Plasma membrane
MC4R	Plasma membrane
OR2M3	Plasma membrane
CXCR3	Plasma membrane
CD1C	Plasma membrane
GPR171	Plasma membrane
MYOT	Plasma membrane
LIN7C	Plasma membrane
PTGER2	Plasma membrane
GNAS	Plasma membrane
RAB40A	Plasma membrane
PCDHA9	Plasma membrane
CNTN6	Plasma membrane
OR10H5	Plasma membrane
SLC8B1	Plasma membrane
PARD3B	Plasma membrane
BVES	Plasma membrane
QRFPR	Plasma membrane
SPAM1	Plasma membrane
CHRNA10	Plasma membrane
KIRREL2	Plasma membrane
OR10Q1	Plasma membrane
PCDHB8	Plasma membrane
ITGB2	Plasma membrane
OR2M5	Plasma membrane
KIR3DL1	Plasma membrane
ESYT2	Plasma membrane
PLXNA4	Plasma membrane
OR51E1	Plasma membrane
RASGRP2	Plasma membrane
KRAS	Plasma membrane
F2RL3	Plasma membrane
SMURF1	Plasma membrane
F2R	Plasma membrane
GFRA3	Plasma membrane
SLCO5A1	Plasma membrane
EHD2	Plasma membrane
HJV	Plasma membrane
ANXA13	Plasma membrane
CDHR2	Plasma membrane
OR10W1	Plasma membrane
GRIA2	Plasma membrane
PKN2	Plasma membrane
OR5A1	Plasma membrane
TECTA	Plasma membrane
OR8D4	Plasma membrane
ADORA2B	Plasma membrane
SNTB1	Plasma membrane
OR9K2	Plasma membrane
FYN	Plasma membrane
CCKAR	Plasma membrane
PLEC	Plasma membrane
HTR1F	Plasma membrane
GJB5	Plasma membrane
GPRC5C	Plasma membrane
PCDHGC4	Plasma membrane
IL6R	Plasma membrane
EFNA5	Plasma membrane
ADAM23	Plasma membrane
GPR15	Plasma membrane
MAL	Plasma membrane
GRIK2	Plasma membrane
OR9Q1	Plasma membrane
SYNDIG1	Plasma membrane
OR13C8	Plasma membrane
OR10C1	Plasma membrane
HPN	Plasma membrane
S1PR4	Plasma membrane
CALM2	Plasma membrane
CACNG4	Plasma membrane
AMOTL1	Plasma membrane
ACP3	Plasma membrane
PCDHB12	Plasma membrane
TGFBR3	Plasma membrane
ELMO1	Plasma membrane
BEST3	Plasma membrane
RASA4	Plasma membrane
BASP1	Plasma membrane
ERVW-1	Plasma membrane
SEPTIN5	Plasma membrane
CD3E	Plasma membrane
WWC1	Plasma membrane
XKR3	Plasma membrane
SNAP23	Plasma membrane
ZP3	Plasma membrane
GCSAM	Plasma membrane
OR52N2	Plasma membrane
OSCAR	Plasma membrane
GNAI3	Plasma membrane
MC5R	Plasma membrane
OR13F1	Plasma membrane
GRM3	Plasma membrane
CHRNA2	Plasma membrane
OR4D6	Plasma membrane
GLDN	Plasma membrane
CD40LG	Plasma membrane
GPR39	Plasma membrane
CACNA1A	Plasma membrane
STRN	Plasma membrane
SSTR1	Plasma membrane
OR6C74	Plasma membrane
MUC4	Plasma membrane
PHKA2	Plasma membrane
CD180	Plasma membrane
NKD2	Plasma membrane
AL591806.2	Plasma membrane
OXER1	Plasma membrane
TCHP	Plasma membrane
EPHA1	Plasma membrane
ASH1L	Plasma membrane
MARK3	Plasma membrane
ADRB2	Plasma membrane
CD84	Plasma membrane
C8A	Plasma membrane
TM4SF1	Plasma membrane
ERBB3	Plasma membrane
OR7A5	Plasma membrane
FREM2	Plasma membrane
PRKACB	Plasma membrane
GGT2	Plasma membrane
CD1E	Plasma membrane
KCNJ12	Plasma membrane
IL17RA	Plasma membrane
MYO1A	Plasma membrane
HMOX2	Plasma membrane
STK10	Plasma membrane
PLCG2	Plasma membrane
KARS1	Plasma membrane
MUC12	Plasma membrane
NOS1	Plasma membrane
OR14I1	Plasma membrane
TNF	Plasma membrane
SLC47A1	Plasma membrane
GRM4	Plasma membrane
GPR119	Plasma membrane
NEDD4	Plasma membrane
EPCAM	Plasma membrane
TRAT1	Plasma membrane
CD300C	Plasma membrane
TMEM127	Plasma membrane
PLXNB2	Plasma membrane
SLC22A6	Plasma membrane
SI	Plasma membrane
SLAMF1	Plasma membrane
PLEKHA7	Plasma membrane
CELSR1	Plasma membrane
ATP5F1A	Plasma membrane
APLNR	Plasma membrane
AVPR2	Plasma membrane
ADGRE5	Plasma membrane
MTM1	Plasma membrane
CRLF2	Plasma membrane
AMER2	Plasma membrane
OR5AU1	Plasma membrane
DEF6	Plasma membrane
OR51I2	Plasma membrane
GPR161	Plasma membrane
OR10J1	Plasma membrane
LIPE	Plasma membrane
HSD17B7	Plasma membrane
SLCO1B1	Plasma membrane
AJAP1	Plasma membrane
ATRAID	Plasma membrane
ARAP1	Plasma membrane
RAB39B	Plasma membrane
ATP6V1B1	Plasma membrane
FAT1	Plasma membrane
CAPN2	Plasma membrane
TTYH1	Plasma membrane
RGS3	Plasma membrane
SYNE2	Plasma membrane
NPHS1	Plasma membrane
FNBP1L	Plasma membrane
OR5AC2	Plasma membrane
ERRFI1	Plasma membrane
PLXND1	Plasma membrane
RTN4RL1	Plasma membrane
SLC50A1	Plasma membrane
ESYT3	Plasma membrane
TAGLN2	Plasma membrane
OR8H3	Plasma membrane
GPR160	Plasma membrane
ITGA1	Plasma membrane
SLC22A7	Plasma membrane
FCRL2	Plasma membrane
ATP2B1	Plasma membrane
PCDHB1	Plasma membrane
PLEKHO1	Plasma membrane
OR1J2	Plasma membrane
NCR2	Plasma membrane
CLDN1	Plasma membrane
CD300LD	Plasma membrane
PTK2B	Plasma membrane
GRM5	Plasma membrane
DUSP15	Plasma membrane
PIK3C2B	Plasma membrane
CCR8	Plasma membrane
ERVFRD-1	Plasma membrane
SCTR	Plasma membrane
UPK3B	Plasma membrane
ZYX	Plasma membrane
PTPRR	Plasma membrane
SLC4A4	Plasma membrane
EPHB4	Plasma membrane
KIT	Plasma membrane
LAMP1	Plasma membrane
CEACAM5	Plasma membrane
EPS15	Plasma membrane
ZNF185	Plasma membrane
PEAR1	Plasma membrane
BACE1	Plasma membrane
PRND	Plasma membrane
SLC30A1	Plasma membrane
VNN2	Plasma membrane
RAB25	Plasma membrane
CNST	Plasma membrane
OR11H6	Plasma membrane
CABP7	Plasma membrane
OR51S1	Plasma membrane
VSTM4	Plasma membrane
TAAR5	Plasma membrane
CASK	Plasma membrane
FFAR3	Plasma membrane
ABCA7	Plasma membrane
PTPRO	Plasma membrane
OR2A25	Plasma membrane
TREML1	Plasma membrane
DAGLB	Plasma membrane
MET	Plasma membrane
SLC20A2	Plasma membrane
PDCD1LG2	Plasma membrane
OR56A4	Plasma membrane
BLNK	Plasma membrane
GNRHR	Plasma membrane
RAB14	Plasma membrane
LDLRAD3	Plasma membrane
OR4C5	Plasma membrane
PRUNE1	Plasma membrane
GPR63	Plasma membrane
ALOX12	Plasma membrane
OR10A7	Plasma membrane
AL135905.2	Plasma membrane
OR5B12	Plasma membrane
SGCA	Plasma membrane
GRM8	Plasma membrane
CTNNAL1	Plasma membrane
GJB2	Plasma membrane
SLCO4C1	Plasma membrane
RET	Plasma membrane
CDC42	Plasma membrane
OR2W1	Plasma membrane
TJP2	Plasma membrane
KIR3DL2	Plasma membrane
PCDHA7	Plasma membrane
CD99L2	Plasma membrane
NPFFR1	Plasma membrane
LGR6	Plasma membrane
GPR150	Plasma membrane
OR2T29	Plasma membrane
SLC29A4	Plasma membrane
CD160	Plasma membrane
NOX1	Plasma membrane
PIP5K1C	Plasma membrane
CLECL1	Plasma membrane
FGFRL1	Plasma membrane
SLC14A2	Plasma membrane
NISCH	Plasma membrane
SLC46A2	Plasma membrane
ACSL6	Plasma membrane
ZACN	Plasma membrane
GPR157	Plasma membrane
FCAR	Plasma membrane
AKT2	Plasma membrane
SLC5A12	Plasma membrane
PRSS21	Plasma membrane
TGFBR2	Plasma membrane
DLG5	Plasma membrane
OR52E2	Plasma membrane
ACVR1C	Plasma membrane
APLP2	Plasma membrane
CRCP	Plasma membrane
TMPRSS5	Plasma membrane
CAPN1	Plasma membrane
GPRC5D	Plasma membrane
OR6Y1	Plasma membrane
LEPR	Plasma membrane
SYTL4	Plasma membrane
OR5W2	Plasma membrane
CALCRL	Plasma membrane
OMG	Plasma membrane
OR2A7	Plasma membrane
KL	Plasma membrane
GJA1	Plasma membrane
PARD6B	Plasma membrane
LILRB4	Plasma membrane
P2RY1	Plasma membrane
RHOB	Plasma membrane
IL23R	Plasma membrane
PYURF	Plasma membrane
ATP5PO	Plasma membrane
GPR4	Plasma membrane
PTPN13	Plasma membrane
TULP1	Plasma membrane
OR10H2	Plasma membrane
OR4F5	Plasma membrane
ERAS	Plasma membrane
CARD14	Plasma membrane
CD209	Plasma membrane
CHL1	Plasma membrane
SLC16A3	Plasma membrane
BBS7	Plasma membrane
OR2A1	Plasma membrane
OR8S1	Plasma membrane
GAP43	Plasma membrane
AQP4	Plasma membrane
ACVR1	Plasma membrane
CD40	Plasma membrane
DRD5	Plasma membrane
PTOV1	Plasma membrane
LY6G6D	Plasma membrane
PDZD11	Plasma membrane
OR1A2	Plasma membrane
SERPINA5	Plasma membrane
RAF1	Plasma membrane
GABBR2	Plasma membrane
RHOG	Plasma membrane
IQGAP1	Plasma membrane
GPR6	Plasma membrane
TMPRSS6	Plasma membrane
CHRM1	Plasma membrane
CD244	Plasma membrane
NMBR	Plasma membrane
PTPN7	Plasma membrane
FLOT2	Plasma membrane
SPATA13	Plasma membrane
SSTR4	Plasma membrane
OR6C6	Plasma membrane
CD28	Plasma membrane
SDC4	Plasma membrane
RBSN	Plasma membrane
TNFRSF1B	Plasma membrane
ADI1	Plasma membrane
OR4C6	Plasma membrane
OR5C1	Plasma membrane
KCNT2	Plasma membrane
NPY2R	Plasma membrane
UBN1	Plasma membrane
GFRA4	Plasma membrane
CLDN19	Plasma membrane
GRIN3B	Plasma membrane
OR13G1	Plasma membrane
OXGR1	Plasma membrane
CSF2RA	Plasma membrane
IL17RC	Plasma membrane
SGCG	Plasma membrane
SLC34A2	Plasma membrane
TTC8	Plasma membrane
CPM	Plasma membrane
TRPV5	Plasma membrane
ENPP6	Plasma membrane
RPS3	Plasma membrane
OR8D1	Plasma membrane
GPC1	Plasma membrane
SYT8	Plasma membrane
IYD	Plasma membrane
LRP8	Plasma membrane
DUSP3	Plasma membrane
FLT4	Plasma membrane
FLVCR2	Plasma membrane
PRMT8	Plasma membrane
HCK	Plasma membrane
MELK	Plasma membrane
ZAP70	Plasma membrane
SGCZ	Plasma membrane
ZP1	Plasma membrane
PLB1	Plasma membrane
VN1R2	Plasma membrane
SCN3A	Plasma membrane
ITGAV	Plasma membrane
LSP1	Plasma membrane
GRIA1	Plasma membrane
CLEC12B	Plasma membrane
CDHR3	Plasma membrane
STRA6	Plasma membrane
UNC5A	Plasma membrane
OR9Q2	Plasma membrane
XPNPEP2	Plasma membrane
CPAMD8	Plasma membrane
OR10R2	Plasma membrane
CX3CL1	Plasma membrane
LPAR3	Plasma membrane
SECTM1	Plasma membrane
VCL	Plasma membrane
OR14A2	Plasma membrane
ANO1	Plasma membrane
CLSTN3	Plasma membrane
FPR1	Plasma membrane
GGT5	Plasma membrane
ALPL	Plasma membrane
SLC22A16	Plasma membrane
KIR2DS4	Plasma membrane
EGFR	Plasma membrane
TNK2	Plasma membrane
TACR3	Plasma membrane
OR52D1	Plasma membrane
CD34	Plasma membrane
GJD4	Plasma membrane
DSG3	Plasma membrane
CDK14	Plasma membrane
MMP25	Plasma membrane
FSHR	Plasma membrane
LAT	Plasma membrane
OR1Q1	Plasma membrane
GPR78	Plasma membrane
GRPR	Plasma membrane
OR2L5	Plasma membrane
OR2T2	Plasma membrane
SLC2A8	Plasma membrane
PROM2	Plasma membrane
CDH3	Plasma membrane
ATP7B	Plasma membrane
DGKD	Plasma membrane
SSTR5	Plasma membrane
GNG12	Plasma membrane
CAVIN2	Plasma membrane
SMO	Plasma membrane
OR7A17	Plasma membrane
OR4B1	Plasma membrane
OR51D1	Plasma membrane
NLGN4X	Plasma membrane
GNB5	Plasma membrane
TRPM1	Plasma membrane
ATP6V0A4	Plasma membrane
TMED10	Plasma membrane
ATP1A4	Plasma membrane
OR2W3	Plasma membrane
PRLHR	Plasma membrane
P2RY13	Plasma membrane
SEMA4A	Plasma membrane
HTR3A	Plasma membrane
FCGR2A	Plasma membrane
LIME1	Plasma membrane
GRB7	Plasma membrane
TMEM17	Plasma membrane
TFRC	Plasma membrane
CLIP3	Plasma membrane
OPRL1	Plasma membrane
RIC8B	Plasma membrane
OR2T3	Plasma membrane
CAP2	Plasma membrane
TMEFF1	Plasma membrane
TFR2	Plasma membrane
FOLR1	Plasma membrane
CDC42SE2	Plasma membrane
PIP5K1A	Plasma membrane
AQP1	Plasma membrane
GAS1	Plasma membrane
VN1R4	Plasma membrane
TAS1R3	Plasma membrane
OR10P1	Plasma membrane
TAPBPL	Plasma membrane
RASL10A	Plasma membrane
ADGRA2	Plasma membrane
LPAR6	Plasma membrane
SLC52A3	Plasma membrane
RXFP4	Plasma membrane
GRM2	Plasma membrane
OTOF	Plasma membrane
RTP2	Plasma membrane
CYS1	Plasma membrane
KCND2	Plasma membrane
CNR2	Plasma membrane
KCNS3	Plasma membrane
GPRIN1	Plasma membrane
SLC9A3	Plasma membrane
CCR5	Plasma membrane
SMIM9	Plasma membrane
SCN2B	Plasma membrane
SKAP2	Plasma membrane
GRIK3	Plasma membrane
ITGB4	Plasma membrane
SLC16A5	Plasma membrane
OR51E2	Plasma membrane
FGFR4	Plasma membrane
COL23A1	Plasma membrane
GPR65	Plasma membrane
VDAC1	Plasma membrane
RASGRP4	Plasma membrane
OR10J3	Plasma membrane
OR4N5	Plasma membrane
PKN1	Plasma membrane
TMED1	Plasma membrane
MTMR1	Plasma membrane
NPY1R	Plasma membrane
P2RY6	Plasma membrane
CDH26	Plasma membrane
PKHD1	Plasma membrane
GLRA3	Plasma membrane
CFTR	Plasma membrane
OR56B1	Plasma membrane
OR6P1	Plasma membrane
ARAP3	Plasma membrane
ADCY2	Plasma membrane
TMEM67	Plasma membrane
CHRNA1	Plasma membrane
GGT7	Plasma membrane
GPR83	Plasma membrane
DDR2	Plasma membrane
OR4C46	Plasma membrane
OR2AK2	Plasma membrane
ANGPT1	Plasma membrane
ATP1A2	Plasma membrane
CD164	Plasma membrane
BBS9	Plasma membrane
ACE	Plasma membrane
APC	Plasma membrane
OXTR	Plasma membrane
CATSPERD	Plasma membrane
PCDHA4	Plasma membrane
CDC42EP2	Plasma membrane
RAPGEF6	Plasma membrane
CLDN14	Plasma membrane
TRPC6	Plasma membrane
CLDN22	Plasma membrane
PICK1	Plasma membrane
CNTNAP3	Plasma membrane
OR6N1	Plasma membrane
APC2	Plasma membrane
KCNV2	Plasma membrane
CAV2	Plasma membrane
RASGRP1	Plasma membrane
ULBP1	Plasma membrane
DSCAM	Plasma membrane
DLGAP2	Plasma membrane
SLC22A12	Plasma membrane
HTR2C	Plasma membrane
IGSF11	Plasma membrane
ASPH	Plasma membrane
MRGPRF	Plasma membrane
LRP1	Plasma membrane
GABRA2	Plasma membrane
AIF1	Plasma membrane
PMEPA1	Plasma membrane
OR2T27	Plasma membrane
GPR139	Plasma membrane
LANCL2	Plasma membrane
PDGFRA	Plasma membrane
CD247	Plasma membrane
PGM5	Plasma membrane
PLCG1	Plasma membrane
CNR1	Plasma membrane
RAB18	Plasma membrane
SNTA1	Plasma membrane
OR4F15	Plasma membrane
CD300LB	Plasma membrane
ILK	Plasma membrane
CCR7	Plasma membrane
IL7R	Plasma membrane
DSC3	Plasma membrane
HTR7	Plasma membrane
RHOA	Plasma membrane
EREG	Plasma membrane
AOC2	Plasma membrane
KCNMA1	Plasma membrane
FCGRT	Plasma membrane
OR51B6	Plasma membrane
XG	Plasma membrane
RAPGEF2	Plasma membrane
OSCP1	Plasma membrane
OR6Q1	Plasma membrane
CRHR1	Plasma membrane
LAMTOR1	Plasma membrane
OR6B3	Plasma membrane
IRAK1	Plasma membrane
NRG3	Plasma membrane
CDH16	Plasma membrane
PRRT2	Plasma membrane
GRIN3A	Plasma membrane
FGR	Plasma membrane
MIEN1	Plasma membrane
GPR132	Plasma membrane
GEM	Plasma membrane
ADGRG7	Plasma membrane
ANK3	Plasma membrane
OR8I2	Plasma membrane
ADGRL1	Plasma membrane
PODXL	Plasma membrane
GJB1	Plasma membrane
TAAR8	Plasma membrane
NPC1L1	Plasma membrane
RTN4R	Plasma membrane
LY6D	Plasma membrane
ARHGEF4	Plasma membrane
OR8B12	Plasma membrane
SLC51B	Plasma membrane
CDH11	Plasma membrane
FFAR1	Plasma membrane
PXK	Plasma membrane
S1PR1	Plasma membrane
OR2L2	Plasma membrane
CACNA1F	Plasma membrane
ERBB2	Plasma membrane
CD200	Plasma membrane
FAS	Plasma membrane
CD52	Plasma membrane
SLC11A1	Plasma membrane
SLC7A8	Plasma membrane
OR52E6	Plasma membrane
LILRB1	Plasma membrane
PCDHB2	Plasma membrane
OR10G9	Plasma membrane
SWAP70	Plasma membrane
CAMK1G	Plasma membrane
NAE1	Plasma membrane
SLC38A1	Plasma membrane
CD22	Plasma membrane
PANX2	Plasma membrane
TNFSF13B	Plasma membrane
OR2AJ1	Plasma membrane
PLXDC1	Plasma membrane
RAET1L	Plasma membrane
FERMT2	Plasma membrane
RXFP1	Plasma membrane
TRPM4	Plasma membrane
KIF18A	Plasma membrane
SLC4A7	Plasma membrane
CHRNB1	Plasma membrane
SLC4A11	Plasma membrane
CACNA1D	Plasma membrane
TSHR	Plasma membrane
TAX1BP3	Plasma membrane
AC018755.2	Plasma membrane
ATP11C	Plasma membrane
CACNG7	Plasma membrane
PTGIR	Plasma membrane
CADM3	Plasma membrane
PCDH10	Plasma membrane
RASGRF1	Plasma membrane
CD109	Plasma membrane
PREX1	Plasma membrane
OR10AD1	Plasma membrane
SLC27A1	Plasma membrane
RRAS2	Plasma membrane
CNTN2	Plasma membrane
HEG1	Plasma membrane
OR5B2	Plasma membrane
TMPRSS11D	Plasma membrane
RAB28	Plasma membrane
ESAM	Plasma membrane
ABCA3	Plasma membrane
OR6C70	Plasma membrane
ITSN1	Plasma membrane
SYT15	Plasma membrane
MAST2	Plasma membrane
