symbol	kegg_terms
ZBTB16	Acute myeloid leukemia,Pathways in cancer,Transcriptional misregulation in cancer
TCF7L1	Acute myeloid leukemia,Adherens junction,Arrhythmogenic right ventricular cardiomyopathy,Basal cell carcinoma,Breast cancer,Colorectal cancer,Cushing syndrome,Endometrial cancer,Gastric cancer,Hepatocellular carcinoma,Hippo signaling pathway,Human papillomavirus infection,Kaposi sarcoma-associated herpesvirus infection,Melanogenesis,Pathways in cancer,Prostate cancer,Salmonella infection,Thyroid cancer,Wnt signaling pathway
TCF3	Acute myeloid leukemia,Adherens junction,Arrhythmogenic right ventricular cardiomyopathy,Basal cell carcinoma,Breast cancer,Colorectal cancer,Cushing syndrome,Endometrial cancer,Gastric cancer,Hepatocellular carcinoma,Hippo signaling pathway,Human T-cell leukemia virus 1 infection,Human papillomavirus infection,Kaposi sarcoma-associated herpesvirus infection,Melanogenesis,Pathways in cancer,Prostate cancer,Salmonella infection,Signaling pathways regulating pluripotency of stem cells,Thyroid cancer,Transcriptional misregulation in cancer,Wnt signaling pathway
RUNX1	Acute myeloid leukemia,Chronic myeloid leukemia,Pathways in cancer,Th17 cell differentiation,Tight junction,Transcriptional misregulation in cancer
RUNX1T1	Acute myeloid leukemia,Pathways in cancer,Transcriptional misregulation in cancer
CD14	Acute myeloid leukemia,Alzheimer disease,Amoebiasis,Amyotrophic lateral sclerosis,Diabetic cardiomyopathy,Hematopoietic cell lineage,Huntington disease,Legionellosis,Lipid and atherosclerosis,MAPK signaling pathway,Metabolic pathways,NF-kappa B signaling pathway,Non-alcoholic fatty liver disease,Oxidative phosphorylation,Parkinson disease,Pathways of neurodegeneration - multiple diseases,Pertussis,Phagosome,Prion disease,Retrograde endocannabinoid signaling,Salmonella infection,Shigellosis,Thermogenesis,Toll-like receptor signaling pathway,Transcriptional misregulation in cancer,Tuberculosis
BAIAP2	Adherens junction,Pathogenic Escherichia coli infection,Regulation of actin cytoskeleton,Yersinia infection
SORBS1	Adherens junction,Insulin signaling pathway,PPAR signaling pathway
WASF3	Adherens junction,Choline metabolism in cancer,Fc gamma R-mediated phagocytosis,Pathogenic Escherichia coli infection,Salmonella infection
SSX2IP	Adherens junction
CREBBP	Adherens junction,Cell cycle,FoxO signaling pathway,Glucagon signaling pathway,Growth hormone synthesis secretion and action,HIF-1 signaling pathway,Hepatitis B,Human T-cell leukemia virus 1 infection,Human papillomavirus infection,Huntington disease,Influenza A,JAK-STAT signaling pathway,Kaposi sarcoma-associated herpesvirus infection,Long-term potentiation,Melanogenesis,MicroRNAs in cancer,Notch signaling pathway,Pathways in cancer,Prostate cancer,Renal cell carcinoma,TGF-beta signaling pathway,Thyroid hormone signaling pathway,Tuberculosis,Viral carcinogenesis,Wnt signaling pathway,cAMP signaling pathway
CSNK2A2	Adherens junction,Alzheimer disease,Measles,Mitophagy - animal,NF-kappa B signaling pathway,PD-L1 expression and PD-1 checkpoint pathway in cancer,Pathways of neurodegeneration - multiple diseases,Prion disease,Ribosome biogenesis in eukaryotes,Wnt signaling pathway
CTNNA1	Adherens junction,Arrhythmogenic right ventricular cardiomyopathy,Bacterial invasion of epithelial cells,Endometrial cancer,Gastric cancer,Hippo signaling pathway,Leukocyte transendothelial migration,Pathways in cancer
CTNNA2	Adherens junction,Arrhythmogenic right ventricular cardiomyopathy,Bacterial invasion of epithelial cells,Endometrial cancer,Gastric cancer,Hippo signaling pathway,Leukocyte transendothelial migration,Pathways in cancer
CTNNB1	Adherens junction,Alzheimer disease,Arrhythmogenic right ventricular cardiomyopathy,Bacterial invasion of epithelial cells,Basal cell carcinoma,Breast cancer,Colorectal cancer,Cushing syndrome,Endometrial cancer,Fluid shear stress and atherosclerosis,Focal adhesion,Gastric cancer,Hepatitis C,Hepatocellular carcinoma,Hippo signaling pathway,Human cytomegalovirus infection,Human papillomavirus infection,Kaposi sarcoma-associated herpesvirus infection,Leukocyte transendothelial migration,Melanogenesis,Pathways in cancer,Pathways of neurodegeneration - multiple diseases,Prostate cancer,Proteoglycans in cancer,Rap1 signaling pathway,Salmonella infection,Signaling pathways regulating pluripotency of stem cells,Thyroid cancer,Thyroid hormone signaling pathway,Wnt signaling pathway
CTNND1	Adherens junction,Leukocyte transendothelial migration,Rap1 signaling pathway
EGFR	Adherens junction,Bladder cancer,Breast cancer,Calcium signaling pathway,Central carbon metabolism in cancer,Chemical carcinogenesis - receptor activation,Choline metabolism in cancer,Colorectal cancer,Coronavirus disease - COVID-19,Cushing syndrome,EGFR tyrosine kinase inhibitor resistance,Endocrine resistance,Endocytosis,Endometrial cancer,Epithelial cell signaling in Helicobacter pylori infection,ErbB signaling pathway,Estrogen signaling pathway,Focal adhesion,FoxO signaling pathway,Gap junction,Gastric cancer,Glioma,GnRH signaling pathway,HIF-1 signaling pathway,Hepatitis C,Hepatocellular carcinoma,Human cytomegalovirus infection,Human papillomavirus infection,JAK-STAT signaling pathway,MAPK signaling pathway,Melanoma,MicroRNAs in cancer,Non-small cell lung cancer,Oxytocin signaling pathway,PD-L1 expression and PD-1 checkpoint pathway in cancer,PI3K-Akt signaling pathway,Pancreatic cancer,Parathyroid hormone synthesis secretion and action,Pathways in cancer,Phospholipase D signaling pathway,Prostate cancer,Proteoglycans in cancer,Rap1 signaling pathway,Ras signaling pathway,Regulation of actin cytoskeleton,Relaxin signaling pathway,Shigellosis
EP300	Adherens junction,Cell cycle,FoxO signaling pathway,Glucagon signaling pathway,Growth hormone synthesis secretion and action,HIF-1 signaling pathway,Hepatitis B,Human T-cell leukemia virus 1 infection,Human papillomavirus infection,Huntington disease,Influenza A,JAK-STAT signaling pathway,Kaposi sarcoma-associated herpesvirus infection,Long-term potentiation,Melanogenesis,MicroRNAs in cancer,Notch signaling pathway,Pathways in cancer,Prostate cancer,Renal cell carcinoma,TGF-beta signaling pathway,Thyroid hormone signaling pathway,Tuberculosis,Viral carcinogenesis,Wnt signaling pathway,cAMP signaling pathway
ERBB2	Adherens junction,Bladder cancer,Breast cancer,Calcium signaling pathway,Central carbon metabolism in cancer,EGFR tyrosine kinase inhibitor resistance,Endocrine resistance,Endometrial cancer,ErbB signaling pathway,Focal adhesion,Gastric cancer,HIF-1 signaling pathway,MAPK signaling pathway,MicroRNAs in cancer,Non-small cell lung cancer,PI3K-Akt signaling pathway,Pancreatic cancer,Pathways in cancer,Platinum drug resistance,Prostate cancer,Proteoglycans in cancer,Tight junction
FER	Adherens junction
FGFR1	Adherens junction,Breast cancer,Calcium signaling pathway,Central carbon metabolism in cancer,MAPK signaling pathway,Melanoma,PI3K-Akt signaling pathway,Parathyroid hormone synthesis secretion and action,Pathways in cancer,Prostate cancer,Proteoglycans in cancer,Rap1 signaling pathway,Ras signaling pathway,Regulation of actin cytoskeleton,Signaling pathways regulating pluripotency of stem cells,Thermogenesis
FLG	Adherens junction,Breast cancer,Calcium signaling pathway,Central carbon metabolism in cancer,MAPK signaling pathway,Melanoma,PI3K-Akt signaling pathway,Parathyroid hormone synthesis secretion and action,Pathways in cancer,Prostate cancer,Proteoglycans in cancer,Rap1 signaling pathway,Ras signaling pathway,Regulation of actin cytoskeleton,Signaling pathways regulating pluripotency of stem cells,Thermogenesis
FYN	Adherens junction,Axon guidance,Cholinergic synapse,Fc epsilon RI signaling pathway,Focal adhesion,Natural killer cell mediated cytotoxicity,Osteoclast differentiation,Pathogenic Escherichia coli infection,Phospholipase D signaling pathway,Platelet activation,Prion disease,Sphingolipid signaling pathway,T cell receptor signaling pathway,Viral myocarditis
NECTIN3	Adherens junction,Cell adhesion molecules
RHOA	Adherens junction,Axon guidance,Bacterial invasion of epithelial cells,C-type lectin receptor signaling pathway,Chemokine signaling pathway,Colorectal cancer,Endocytosis,Fluid shear stress and atherosclerosis,Focal adhesion,Human cytomegalovirus infection,Leukocyte transendothelial migration,Lipid and atherosclerosis,MicroRNAs in cancer,NOD-like receptor signaling pathway,Neurotrophin signaling pathway,Oxytocin signaling pathway,Pancreatic secretion,Parathyroid hormone synthesis secretion and action,Pathogenic Escherichia coli infection,Pathways in cancer,Pertussis,Phospholipase D signaling pathway,Platelet activation,Proteoglycans in cancer,Rap1 signaling pathway,Ras signaling pathway,Regulation of actin cytoskeleton,Salmonella infection,Shigellosis,Sphingolipid signaling pathway,T cell receptor signaling pathway,TGF-beta signaling pathway,Tight junction,Tuberculosis,Vascular smooth muscle contraction,Viral carcinogenesis,Wnt signaling pathway,Yersinia infection,cAMP signaling pathway,cGMP-PKG signaling pathway,mTOR signaling pathway
MET	Adherens junction,Axon guidance,Bacterial invasion of epithelial cells,Calcium signaling pathway,Central carbon metabolism in cancer,EGFR tyrosine kinase inhibitor resistance,Epithelial cell signaling in Helicobacter pylori infection,Focal adhesion,Gastric cancer,Hepatocellular carcinoma,MAPK signaling pathway,Malaria,Melanoma,MicroRNAs in cancer,Non-small cell lung cancer,PI3K-Akt signaling pathway,Pathways in cancer,Proteoglycans in cancer,Rap1 signaling pathway,Ras signaling pathway,Renal cell carcinoma,Transcriptional misregulation in cancer,mRNA surveillance pathway
ACP1	Adherens junction,Alzheimer disease,Amyotrophic lateral sclerosis,Diabetic cardiomyopathy,Huntington disease,Metabolic pathways,Metabolic pathways,Non-alcoholic fatty liver disease,Oxidative phosphorylation,Parkinson disease,Pathways of neurodegeneration - multiple diseases,Prion disease,Retrograde endocannabinoid signaling,Riboflavin metabolism,Thermogenesis,Thiamine metabolism
PARD3	Adherens junction,Axon guidance,Chemokine signaling pathway,Endocytosis,Hippo signaling pathway,Human papillomavirus infection,Neuroactive ligand-receptor interaction,Rap1 signaling pathway,Tight junction
ASIP	Adherens junction,Axon guidance,Chemokine signaling pathway,Endocytosis,Hippo signaling pathway,Human papillomavirus infection,Melanogenesis,Neuroactive ligand-receptor interaction,Rap1 signaling pathway,Tight junction
PTPN1	Adherens junction,Insulin resistance,Insulin signaling pathway
PTPN6	Adherens junction,B cell receptor signaling pathway,JAK-STAT signaling pathway,Leishmaniasis,Natural killer cell mediated cytotoxicity,PD-L1 expression and PD-1 checkpoint pathway in cancer,Pathogenic Escherichia coli infection,Proteoglycans in cancer,T cell receptor signaling pathway
PTPRJ	Adherens junction
PTPRM	Adherens junction,Cell adhesion molecules
NECTIN1	Adherens junction,Cell adhesion molecules,Herpes simplex virus 1 infection
NECTIN2	Adherens junction,Cell adhesion molecules,Herpes simplex virus 1 infection
RAC3	Adherens junction,Axon guidance,B cell receptor signaling pathway,Breast cancer,Chemokine signaling pathway,Choline metabolism in cancer,Colorectal cancer,Endocrine resistance,Estrogen signaling pathway,Fc epsilon RI signaling pathway,Fluid shear stress and atherosclerosis,Focal adhesion,Human cytomegalovirus infection,Human immunodeficiency virus 1 infection,MAPK signaling pathway,Natural killer cell mediated cytotoxicity,Pancreatic cancer,Pathways in cancer,Pathways in cancer,Rap1 signaling pathway,Ras signaling pathway,Regulation of actin cytoskeleton,Sphingolipid signaling pathway,Thyroid hormone signaling pathway,VEGF signaling pathway,Viral myocarditis,Wnt signaling pathway,Yersinia infection,cAMP signaling pathway
SNAI1	Adherens junction
SRC	Adherens junction,Axon guidance,Bacterial invasion of epithelial cells,Bladder cancer,C-type lectin receptor signaling pathway,Chemical carcinogenesis - receptor activation,Chemokine signaling pathway,EGFR tyrosine kinase inhibitor resistance,Endocrine resistance,Endocytosis,Epithelial cell signaling in Helicobacter pylori infection,ErbB signaling pathway,Estrogen signaling pathway,Fluid shear stress and atherosclerosis,Focal adhesion,GABAergic synapse,Gap junction,GnRH signaling pathway,Hepatitis B,Herpes simplex virus 1 infection,Human cytomegalovirus infection,Inflammatory mediator regulation of TRP channels,Kaposi sarcoma-associated herpesvirus infection,Lipid and atherosclerosis,Mitophagy - animal,Neutrophil extracellular trap formation,Oxytocin signaling pathway,Pathogenic Escherichia coli infection,Platelet activation,Prolactin signaling pathway,Proteoglycans in cancer,Rap1 signaling pathway,Regulation of actin cytoskeleton,Relaxin signaling pathway,Shigellosis,Thyroid hormone signaling pathway,Tight junction,Tuberculosis,VEGF signaling pathway,Viral carcinogenesis,Yersinia infection
TJP1	Adherens junction,Epithelial cell signaling in Helicobacter pylori infection,Gap junction,Pathogenic Escherichia coli infection,Tight junction,Vibrio cholerae infection
VCL	Adherens junction,Amoebiasis,Bacterial invasion of epithelial cells,Focal adhesion,Leukocyte transendothelial migration,Regulation of actin cytoskeleton,Shigellosis
WAS	Adherens junction,Chemokine signaling pathway,Choline metabolism in cancer,Fc gamma R-mediated phagocytosis,Tight junction,Yersinia infection
YES1	Adherens junction
ACTN4	Adherens junction,Amoebiasis,Focal adhesion,Leukocyte transendothelial migration,Regulation of actin cytoskeleton,Shigellosis,Systemic lupus erythematosus,Tight junction,Viral carcinogenesis
NECTIN4	Adherens junction
PRR4	Adherens junction
ACTN1	Adherens junction,Amoebiasis,Focal adhesion,Leukocyte transendothelial migration,Regulation of actin cytoskeleton,Shigellosis,Systemic lupus erythematosus,Tight junction,Viral carcinogenesis
IQGAP1	Adherens junction,Proteoglycans in cancer,Regulation of actin cytoskeleton
WASF1	Adherens junction,Bacterial invasion of epithelial cells,Choline metabolism in cancer,Fc gamma R-mediated phagocytosis,Pathogenic Escherichia coli infection,Regulation of actin cytoskeleton,Shigellosis
CDH1	Adherens junction,Apelin signaling pathway,Bacterial invasion of epithelial cells,Bladder cancer,Cell adhesion molecules,Cell cycle,Endometrial cancer,Gastric cancer,Hippo signaling pathway,Melanoma,Pathways in cancer,Progesterone-mediated oocyte maturation,Rap1 signaling pathway,Thyroid cancer,Ubiquitin mediated proteolysis
AGRP	Adipocytokine signaling pathway
ACSL1	Adipocytokine signaling pathway,Fatty acid biosynthesis,Fatty acid degradation,Fatty acid metabolism,Ferroptosis,Metabolic pathways,PPAR signaling pathway,Peroxisome,Thermogenesis
ACSL3	Adipocytokine signaling pathway,Fatty acid biosynthesis,Fatty acid degradation,Fatty acid metabolism,Ferroptosis,Metabolic pathways,PPAR signaling pathway,Peroxisome,Thermogenesis
ACSL4	Adipocytokine signaling pathway,Fatty acid biosynthesis,Fatty acid degradation,Fatty acid metabolism,Ferroptosis,Metabolic pathways,PPAR signaling pathway,Peroxisome,Thermogenesis
ACSL6	Adipocytokine signaling pathway,Fatty acid biosynthesis,Fatty acid degradation,Fatty acid metabolism,Ferroptosis,Metabolic pathways,PPAR signaling pathway,Peroxisome,Thermogenesis
NFKBIA	Adipocytokine signaling pathway,Apoptosis,B cell receptor signaling pathway,C-type lectin receptor signaling pathway,Chagas disease,Chemokine signaling pathway,Chronic myeloid leukemia,Coronavirus disease - COVID-19,Cytosolic DNA-sensing pathway,Epithelial cell signaling in Helicobacter pylori infection,Epstein-Barr virus infection,Hepatitis B,Hepatitis C,Herpes simplex virus 1 infection,Human T-cell leukemia virus 1 infection,Human cytomegalovirus infection,Human immunodeficiency virus 1 infection,IL-17 signaling pathway,Influenza A,Insulin resistance,Kaposi sarcoma-associated herpesvirus infection,Legionellosis,Leishmaniasis,Lipid and atherosclerosis,Measles,NF-kappa B signaling pathway,NOD-like receptor signaling pathway,Neurotrophin signaling pathway,Osteoclast differentiation,PD-L1 expression and PD-1 checkpoint pathway in cancer,Pathogenic Escherichia coli infection,Pathways in cancer,Prostate cancer,RIG-I-like receptor signaling pathway,Relaxin signaling pathway,Salmonella infection,Shigellosis,Small cell lung cancer,T cell receptor signaling pathway,TNF signaling pathway,Th1 and Th2 cell differentiation,Th17 cell differentiation,Toll-like receptor signaling pathway,Toxoplasmosis,Viral carcinogenesis,Yersinia infection,cAMP signaling pathway
NPY	Adipocytokine signaling pathway,Alcoholism,Neuroactive ligand-receptor interaction,Regulation of lipolysis in adipocytes,cAMP signaling pathway
ACSL5	Adipocytokine signaling pathway,Fatty acid biosynthesis,Fatty acid degradation,Fatty acid metabolism,Ferroptosis,Metabolic pathways,PPAR signaling pathway,Peroxisome,Thermogenesis
POMC	Adipocytokine signaling pathway,Aldosterone synthesis and secretion,Cortisol synthesis and secretion,Cushing syndrome,Estrogen signaling pathway,Melanogenesis,Neuroactive ligand-receptor interaction,cAMP signaling pathway
PPARA	Adipocytokine signaling pathway,Chemical carcinogenesis - receptor activation,Diabetic cardiomyopathy,Glucagon signaling pathway,Hepatitis C,Insulin resistance,Non-alcoholic fatty liver disease,PPAR signaling pathway,cAMP signaling pathway
PRKCQ	Adipocytokine signaling pathway,Autophagy - animal,Inflammatory mediator regulation of TRP channels,Insulin resistance,NF-kappa B signaling pathway,PD-L1 expression and PD-1 checkpoint pathway in cancer,Shigellosis,T cell receptor signaling pathway,Th1 and Th2 cell differentiation,Th17 cell differentiation,Vascular smooth muscle contraction
RXRA	Adipocytokine signaling pathway,Bile secretion,Chemical carcinogenesis - receptor activation,Gastric cancer,Hepatitis C,Lipid and atherosclerosis,Non-alcoholic fatty liver disease,Non-small cell lung cancer,PI3K-Akt signaling pathway,PPAR signaling pathway,Parathyroid hormone synthesis secretion and action,Pathways in cancer,Small cell lung cancer,Th17 cell differentiation,Thyroid cancer,Thyroid hormone signaling pathway,Transcriptional misregulation in cancer
RXRB	Adipocytokine signaling pathway,Chemical carcinogenesis - receptor activation,Gastric cancer,Lipid and atherosclerosis,Non-small cell lung cancer,PPAR signaling pathway,Parathyroid hormone synthesis secretion and action,Pathways in cancer,Small cell lung cancer,Th17 cell differentiation,Thyroid cancer,Thyroid hormone signaling pathway,Transcriptional misregulation in cancer
SLC2A1	Adipocytokine signaling pathway,Bile secretion,Central carbon metabolism in cancer,Diabetic cardiomyopathy,Glucagon signaling pathway,HIF-1 signaling pathway,Human T-cell leukemia virus 1 infection,Insulin resistance,Insulin secretion,Pathways in cancer,Renal cell carcinoma,Thyroid hormone signaling pathway
TNFRSF1A	Adipocytokine signaling pathway,Alzheimer disease,Amyotrophic lateral sclerosis,Apoptosis,Apoptosis - multiple species,Chagas disease,Coronavirus disease - COVID-19,Cytokine-cytokine receptor interaction,Fluid shear stress and atherosclerosis,Hepatitis C,Herpes simplex virus 1 infection,Human T-cell leukemia virus 1 infection,Human cytomegalovirus infection,Human immunodeficiency virus 1 infection,Human papillomavirus infection,Influenza A,Insulin resistance,Kaposi sarcoma-associated herpesvirus infection,Lipid and atherosclerosis,MAPK signaling pathway,NF-kappa B signaling pathway,Necroptosis,Non-alcoholic fatty liver disease,Osteoclast differentiation,Pathogenic Escherichia coli infection,Pathways of neurodegeneration - multiple diseases,Salmonella infection,Shigellosis,Sphingolipid signaling pathway,TNF signaling pathway,Toxoplasmosis,Tuberculosis,Viral protein interaction with cytokine and cytokine receptor,mTOR signaling pathway
TNFRSF1B	Adipocytokine signaling pathway,Amyotrophic lateral sclerosis,Cytokine-cytokine receptor interaction,Human immunodeficiency virus 1 infection,Pathways of neurodegeneration - multiple diseases,TNF signaling pathway,Viral protein interaction with cytokine and cytokine receptor
TRADD	Adipocytokine signaling pathway,Apoptosis,Epstein-Barr virus infection,Hepatitis C,Herpes simplex virus 1 infection,Human cytomegalovirus infection,Human immunodeficiency virus 1 infection,Human papillomavirus infection,IL-17 signaling pathway,Influenza A,Kaposi sarcoma-associated herpesvirus infection,MAPK signaling pathway,Measles,NF-kappa B signaling pathway,Necroptosis,Pathogenic Escherichia coli infection,RIG-I-like receptor signaling pathway,Salmonella infection,Shigellosis,Sphingolipid signaling pathway,TNF signaling pathway,Tuberculosis,Viral carcinogenesis
CACNG3	Adrenergic signaling in cardiomyocytes,Arrhythmogenic right ventricular cardiomyopathy,Cardiac muscle contraction,Dilated cardiomyopathy,Hypertrophic cardiomyopathy,MAPK signaling pathway,Oxytocin signaling pathway
ADCY1	Adrenergic signaling in cardiomyocytes,Aldosterone synthesis and secretion,Amoebiasis,Apelin signaling pathway,Bile secretion,Calcium signaling pathway,Chagas disease,Chemical carcinogenesis - receptor activation,Chemokine signaling pathway,Cholinergic synapse,Circadian entrainment,Cortisol synthesis and secretion,Cushing syndrome,Dilated cardiomyopathy,Endocrine resistance,Estrogen signaling pathway,GABAergic synapse,Gap junction,Gastric acid secretion,Glutamatergic synapse,GnRH signaling pathway,Growth hormone synthesis secretion and action,Human T-cell leukemia virus 1 infection,Human cytomegalovirus infection,Inflammatory mediator regulation of TRP channels,Insulin secretion,Long-term potentiation,Longevity regulating pathway,Longevity regulating pathway - multiple species,Melanogenesis,Metabolic pathways,Morphine addiction,Oocyte meiosis,Ovarian steroidogenesis,Oxytocin signaling pathway,Pancreatic secretion,Parathyroid hormone synthesis secretion and action,Pathways in cancer,Phospholipase D signaling pathway,Platelet activation,Progesterone-mediated oocyte maturation,Purine metabolism,Rap1 signaling pathway,Regulation of lipolysis in adipocytes,Relaxin signaling pathway,Retrograde endocannabinoid signaling,Salivary secretion,Thermogenesis,Thyroid hormone synthesis,Vascular smooth muscle contraction,cAMP signaling pathway,cGMP-PKG signaling pathway
ADCY2	Adrenergic signaling in cardiomyocytes,Aldosterone synthesis and secretion,Apelin signaling pathway,Bile secretion,Calcium signaling pathway,Chemical carcinogenesis - receptor activation,Chemokine signaling pathway,Cholinergic synapse,Circadian entrainment,Cortisol synthesis and secretion,Cushing syndrome,Dilated cardiomyopathy,Endocrine resistance,Estrogen signaling pathway,GABAergic synapse,Gap junction,Gastric acid secretion,Glucagon signaling pathway,Glutamatergic synapse,GnRH signaling pathway,Growth hormone synthesis secretion and action,Human T-cell leukemia virus 1 infection,Human cytomegalovirus infection,Inflammatory mediator regulation of TRP channels,Insulin secretion,Longevity regulating pathway,Longevity regulating pathway - multiple species,Melanogenesis,Metabolic pathways,Morphine addiction,Oocyte meiosis,Ovarian steroidogenesis,Oxytocin signaling pathway,Pancreatic secretion,Parathyroid hormone synthesis secretion and action,Pathways in cancer,Phospholipase D signaling pathway,Platelet activation,Progesterone-mediated oocyte maturation,Purine metabolism,Rap1 signaling pathway,Regulation of lipolysis in adipocytes,Relaxin signaling pathway,Retrograde endocannabinoid signaling,Salivary secretion,Thermogenesis,Thyroid hormone synthesis,Vascular smooth muscle contraction,cAMP signaling pathway,cGMP-PKG signaling pathway
ATF2	Adrenergic signaling in cardiomyocytes,Alcoholism,Aldosterone synthesis and secretion,Amphetamine addiction,Calcium signaling pathway,Chemical carcinogenesis - receptor activation,Cocaine addiction,Cortisol synthesis and secretion,Cushing syndrome,Dopaminergic synapse,Estrogen signaling pathway,Glucagon signaling pathway,Growth hormone synthesis secretion and action,Hepatitis B,Human T-cell leukemia virus 1 infection,Human cytomegalovirus infection,Insulin secretion,Longevity regulating pathway,MAPK signaling pathway,PI3K-Akt signaling pathway,Parathyroid hormone synthesis secretion and action,Prion disease,Relaxin signaling pathway,TNF signaling pathway,Thermogenesis,Thyroid hormone synthesis,Viral carcinogenesis,cGMP-PKG signaling pathway
ATF6B	Adrenergic signaling in cardiomyocytes,Alcoholism,Aldosterone synthesis and secretion,Amphetamine addiction,Chemical carcinogenesis - receptor activation,Cocaine addiction,Cortisol synthesis and secretion,Cushing syndrome,Dopaminergic synapse,Estrogen signaling pathway,Growth hormone synthesis secretion and action,Hepatitis B,Human T-cell leukemia virus 1 infection,Human cytomegalovirus infection,Insulin secretion,Longevity regulating pathway,PI3K-Akt signaling pathway,Parathyroid hormone synthesis secretion and action,Prion disease,Protein processing in endoplasmic reticulum,Relaxin signaling pathway,TNF signaling pathway,Thyroid hormone synthesis,Viral carcinogenesis,cGMP-PKG signaling pathway
CREM	Adrenergic signaling in cardiomyocytes
ADRA1D	Adrenergic signaling in cardiomyocytes,Calcium signaling pathway,Neuroactive ligand-receptor interaction,Salivary secretion,Vascular smooth muscle contraction,cGMP-PKG signaling pathway
ADRA1B	Adrenergic signaling in cardiomyocytes,Calcium signaling pathway,Neuroactive ligand-receptor interaction,Salivary secretion,Vascular smooth muscle contraction,cGMP-PKG signaling pathway
ADRB1	Adrenergic signaling in cardiomyocytes,Calcium signaling pathway,Chemical carcinogenesis - receptor activation,Dilated cardiomyopathy,Gap junction,Neuroactive ligand-receptor interaction,Regulation of lipolysis in adipocytes,Renin secretion,Salivary secretion,cAMP signaling pathway,cGMP-PKG signaling pathway
ADRB2	Adrenergic signaling in cardiomyocytes,Calcium signaling pathway,Chemical carcinogenesis - receptor activation,Neuroactive ligand-receptor interaction,Regulation of lipolysis in adipocytes,Renin secretion,Salivary secretion,cAMP signaling pathway,cGMP-PKG signaling pathway
CALML6	Adrenergic signaling in cardiomyocytes,Alcoholism,Aldosterone synthesis and secretion,Alzheimer disease,Amphetamine addiction,Apelin signaling pathway,C-type lectin receptor signaling pathway,Calcium signaling pathway,Cellular senescence,Circadian entrainment,Dopaminergic synapse,Estrogen signaling pathway,Fluid shear stress and atherosclerosis,Gastric acid secretion,Glioma,Glucagon signaling pathway,GnRH signaling pathway,Human cytomegalovirus infection,Human immunodeficiency virus 1 infection,Inflammatory mediator regulation of TRP channels,Insulin signaling pathway,Kaposi sarcoma-associated herpesvirus infection,Lipid and atherosclerosis,Long-term potentiation,Melanogenesis,Neurotrophin signaling pathway,Olfactory transduction,Oocyte meiosis,Oxytocin signaling pathway,Parkinson disease,Pathways in cancer,Pathways of neurodegeneration - multiple diseases,Pertussis,Phosphatidylinositol signaling system,Phototransduction,Rap1 signaling pathway,Ras signaling pathway,Renin secretion,Salivary secretion,Tuberculosis,Vascular smooth muscle contraction,cAMP signaling pathway,cGMP-PKG signaling pathway
AGTR2	Adrenergic signaling in cardiomyocytes,Neuroactive ligand-receptor interaction,Renin-angiotensin system
ATP1B4	Adrenergic signaling in cardiomyocytes,Aldosterone synthesis and secretion,Aldosterone-regulated sodium reabsorption,Bile secretion,Carbohydrate digestion and absorption,Cardiac muscle contraction,Endocrine and other factor-regulated calcium reabsorption,Gastric acid secretion,Insulin secretion,Mineral absorption,Pancreatic secretion,Protein digestion and absorption,Proximal tubule bicarbonate reclamation,Salivary secretion,Thyroid hormone signaling pathway,Thyroid hormone synthesis,cAMP signaling pathway,cGMP-PKG signaling pathway
CACNG4	Adrenergic signaling in cardiomyocytes,Arrhythmogenic right ventricular cardiomyopathy,Cardiac muscle contraction,Dilated cardiomyopathy,Hypertrophic cardiomyopathy,MAPK signaling pathway,Oxytocin signaling pathway
GNAI1	Adrenergic signaling in cardiomyocytes,Alcoholism,Apelin signaling pathway,Axon guidance,Chagas disease,Chemical carcinogenesis - receptor activation,Chemokine signaling pathway,Cholinergic synapse,Circadian entrainment,Cocaine addiction,Cushing syndrome,Dopaminergic synapse,Estrogen signaling pathway,GABAergic synapse,Gap junction,Gastric acid secretion,Glutamatergic synapse,Growth hormone synthesis secretion and action,Human cytomegalovirus infection,Human immunodeficiency virus 1 infection,Leukocyte transendothelial migration,Long-term depression,Melanogenesis,Morphine addiction,Oxytocin signaling pathway,Parathyroid hormone synthesis secretion and action,Parkinson disease,Pathways in cancer,Pertussis,Platelet activation,Progesterone-mediated oocyte maturation,Rap1 signaling pathway,Regulation of lipolysis in adipocytes,Relaxin signaling pathway,Renin secretion,Retrograde endocannabinoid signaling,Serotonergic synapse,Sphingolipid signaling pathway,Toxoplasmosis,cAMP signaling pathway,cGMP-PKG signaling pathway
